10 Years,Dancing With The Dead
10 Years,Fix Me
10 Years,Now Is The Time (Ravenous)
3 Years Hollow,Hungry
30 Seconds To Mars,Attack
30 Seconds To Mars,The Kill
A Day To Remember,Right Back At It Again
A Perfect Circle,By And Down
AC/DC,You Shook Me All Night Long
Adelitas Way,Criticize
Adelitas Way,Dog On A Leash
Adelitas Way,Sick
Adrenaline Mob,Come On Get Up
Adrenaline Mob,Feel the Adrenaline
Adrenaline Mob,Mob Is Back
Aerosmith,Rats In The Cellar
Alice In Chains,Would?
All That Remains,What If I Was Nothing
Alter Bridge,Addicted To Pain
Alter Bridge,Cry Of Achilles
Amity Affliction,Open Letter
Amity Affliction,Pittsburgh
Andrew W.K.,Party Hard
Anthrax w/ Dimebag Darrell,Cadillac Rock Box
Anti-Mortem,100 Pure American Rage
Aranda,Satisfied
Art Of Dying,Die Trying
Art Of Dying,Get Thru This
Asking Alexandria,Break Down The Walls
Atreyu,Falling Down
Avatar,Bloody Angel
Avatar,Hail The Apocalypse
Avatar,Smells Like A Freak Show
Avenged Sevenfold,Afterlife
Avenged Sevenfold,Almost Easy
Avenged Sevenfold,Bat Country
Avenged Sevenfold,Beast And The Harlot
Avenged Sevenfold,Buried Alive
Avenged Sevenfold,Carry On
Avenged Sevenfold,Doing Time
Avenged Sevenfold,God Hates Us
Avenged Sevenfold,Hail To The King
Avenged Sevenfold,Nightmare
Avenged Sevenfold,Planets
Avenged Sevenfold,Scream
Avenged Sevenfold,Shepherd of Fire
Avenged Sevenfold,So Far Away
Avenged Sevenfold,This Means War
Avenged Sevenfold,Welcome To The Family
Bad Seed Rising,Hey Kid
Black Label Society,My Dying Time
Black Stone Cherry,Blind Man
Black Stone Cherry,Folsom Prison Blues EXCLUSIVE
Black Stone Cherry,In My Blood EXCLUSIVE
Black Stone Cherry,Me And Mary Jane
Black Stone Cherry,Me And Mary Jane EXCLUSIVE
Black Tide,Can't Get Enough
Black Veil Brides,In The End
Black Veil Brides,We Don't Belong
Blacklite District,With Me Now
Blacklite District,Worldwide Controversy
Bobaflex,I'm Glad You're Dead
Breaking Benjamin,Breath
Breaking Benjamin,So Cold
Breaking Benjamin,The Diary Of Jane
Breaking Benjamin w/ Valora,Blow Me Away
Bring Me The Horizon,Can You Feel My Heart
Bring Me The Horizon,"Go To Hell, For Heavens Sake"
Bring Me The Horizon,Sleepwalking
Bullet For My Valentine,Breaking Point
Bullet For My Valentine,Dirty Little Secret
Bullet For My Valentine,Fever
Bullet For My Valentine,Hearts Burst Into Fire
Bullet For My Valentine,Riot
Bullet For My Valentine,Scream Aim Fire
Bullet For My Valentine,Tears Don't Fall
Bullet For My Valentine,Temper Temper
Bullet For My Valentine,Your Betrayal
Burn Halo,Save Me
Burnos,Octane
Burnos,WarShip
Cathercist,If Anything At All
Cavo,Champagne
Chevelle,I Get It
Chevelle,Take Out The Gunman
Cilver,Razor Blade
Coheed & Cambria,Dark Side Of Me
Coheed & Cambria,Here We Are Juggernaut
Coheed & Cambria,Welcome Home
Crosses,Bitches Brew
Crosses,The Epilogue
Crossfade,Cold
Crossfaith,The Evolution
Deftones,Romantic Dreams
Deftones,Swerve City
Deftones w/ Maynard James Keenan,Passenger
Demon Hunter,The Last One Alive
Device,Vilify
DevilDriver,Sail
Devour The Day,Good Man
Devour The Day,Move On
Devour The Day,Respect
Digital Summer,Breaking Point
Digital Summer,Forget You
Dillinger Escape Plan,One Of Us Is The Killer
Disturbed,Another Way To Die
Disturbed,Down With The Sickness
Disturbed,Indestructible
Disturbed,Inside The Fire
Disturbed,Just Stop
Disturbed,Liberate
Disturbed,Remember
Disturbed,Stricken
Disturbed,Stupify
Disturbed,Ten Thousand Fists
Disturbed,The Animal
Disturbed,Warrior
Drowning Pool,Bodies
Drowning Pool,Soldiers
Egypt Central,Kick Ass
Escape The Fate,One For The Money
Evanescence,Bring Me To Life
Evanescence,Going Under
Evans Blue,Beyond The Stars
Evans Blue,Cold (But I'm Still Here)
Evans Blue,Erase My Scars
Evans Blue,Halo
Evans Blue,Say It
Evans Blue,This Time It's Different
Eve to Adam,Immortal
Eyes Set To Kill,Infected
Falling In Reverse,It's Over When It's Over
Finger Eleven,Paralyzer
Five Finger Death Punch,Bad Company
Five Finger Death Punch,Battle Born
Five Finger Death Punch,Far From Home
Five Finger Death Punch,House Of The Rising Sun
Five Finger Death Punch,Mama Said Knock You Out
Five Finger Death Punch,Never Enough
Five Finger Death Punch,Remember Everything
Five Finger Death Punch,Stranger Than Fiction
Five Finger Death Punch,The Bleeding
Five Finger Death Punch,The Pride
Five Finger Death Punch,The Way Of The Fist
Five Finger Death Punch,Under And Over It
Five Finger Death Punch/Rob Halford,Lift Me Up
Flyleaf,I'm So Sick
Foo Fighters,All My Life
Foo Fighters,My Hero
Foo Fighters,Stacked Actors
Foo Fighters,White Limo
Fozzy,Lights Go Out
Framing Hanley,Criminal
From Ashes To New,I Will Show You
From Ashes To New,My Fight
Fuel,Soul To Preach To
Gemini Syndrome,Basement EXCLUSIVE
Gemini Syndrome,Big Empty EXCLUSIVE
Gemini Syndrome,Stardust
Gemini Syndrome,Stardust EXCLUSIVE
Godsmack,Bad Religion
Godsmack,Cryin' Like A Bitch
Godsmack,Greed
Godsmack,I Stand Alone
Godsmack,Keep Away
Godsmack,Love Hate Sex Pain
Godsmack,Saints And Sinners
Godsmack,Straight Out Of Line
Godsmack,Whatever
Godsmack,Whiskey Hangover
Gus G./Devour The Day,I Am The Fire
H2NY,Bleed
Halestorm,Freak Like Me
Halestorm,Get Lucky
Halestorm,I Miss The Misery
Halestorm,I Want You (She's So Heavy)
Halestorm,It's Not You
Halestorm,Love Bites (So Do I)
Halestorm,Mz. Hyde
Halestorm,Shoot To Thrill
Hatebreed,Destroy Everything
Hatebreed,I Will Be Heard
Hatebreed,In Ashes They Shall Reap
Heaven's Basement,Nothing Left To Lose
HeavensDust/Dan Chandler,More Than This
Hellyeah,Sangre Por Sangre (Blood For Blood)
High Grade,High Voltage
Hinder,Get Stoned
Hinder,Save Me
Hinder,Use Me
Hollywood Undead,Levitate
Hollywood Undead,Young
I Exist,Giving My Life
In This Moment,Adrenalize
In This Moment,Beautiful Tragedy
In This Moment,Blood
In This Moment,Whore
In This Moment w/ Jose Mangin,I'm Broken (Live)
It's War,Heart
Killer Be Killed,Wings Of Feather And Wax
Killswitch Engage,Always
Killswitch Engage,In Due Time
Korn,A.D.I.D.A.S.
Korn,Coming Undone
Korn,Falling Away From Me
Korn,Freak On A Leash
Korn,Get Up!
Korn,Got The Life
Korn,Make Me Bad
Korn,Narcissistic Cannibal
Korn,No Place To Hide
Korn,Paranoid And Aroused
Korn,Prey For Me
Korn,Right Now
Korn,Spike In My Veins
Korn,What We Do
Korn,Y'All Want A Single
Kyng,Electric Halo
Kyng,Self Medicated Man
Kyng,Sewn Shut
Lacuna Coil,Die & Rise
Lacuna Coil,Nothing Stands In Our Way
Lacuna Coil,Spellbound
Lacuna Coil,Trip The Darkness
Lamb Of God,Now You've Got Something To Die For
Lamb Of God,Redneck
Led Zeppelin,No Quarter
Lesser Key,Intercession
Lesser Key,Pale Horse
Letter Black,Sick Charade
Letters From The Fire,Eleanor Rigby
Like A Storm,Gangsta's Paradise
Like A Storm,Love The Way You Hate Me
Limp Bizkit,Re-Arranged
Lindsey Stirling/Lzzy Hale,Shatter Me
Linkin Park,Bleed It Out
Linkin Park,Breaking The Habit
Linkin Park,Crawling
Linkin Park,Faint
Linkin Park,Given Up
Linkin Park,Guilty All The Same
Linkin Park,In The End
Linkin Park,Numb
Linkin Park,One Step Closer
Linkin Park,One Step Closer (Live)
Linkin Park,Somewhere I Belong
Linkin Park,Until It's Gone
Linkin Park/Rakim,Guilty All The Same
Love & Death,By The Way
Machine Head,Be Still And Know
Marilyn Manson,Rock Is Dead
Marilyn Manson,The Beautiful People
Marilyn Manson,The Dope Show
Marilyn Manson,Tourniquet
Marmozets,Why Do You Hate Me?
Mastodon,High Road
Memphis May Fire,No Ordinary Love
Metallica,Ain't My Bitch
Metallica,Don't Tread On Me
Metallica,Fuel
Metallica,I Disappear
Metallica,King Nothing
Metallica,Leper Messiah
Metallica,Of Wolf And Man
Metallica,The God That Failed
Metallica,Through The Never
Metallica,Wherever I May Roam
Miss May I,Echoes
Monster Truck,Old Train
Motionless In White,Devil's Night
Mudvayne,Dig
Mudvayne,Dull Boy
Mudvayne,Happy?
Mudvayne,Not Falling
Mushroomhead,Out of My Mind
My Darkest Days,Move Your Body
My Goodness,Check Your Bones
New Year's Day,Angel Eyes ft. Chris Motionless
Nickelback,Animals
Nine Inch Nails,Head Like A Hole
Nine Inch Nails,March Of The Pigs
Nine Inch Nails,The Hand That Feeds
Nirvana,Scentless Apprentice
Nonpoint,Bullet With A Name
Nonpoint,I Said It
Nonpoint,In The Air Tonight
Nonpoint,Left For You
Nonpoint,Miracle
Nonpoint,That Day
Nonpoint,What A Day
Nothing More,This Is The Time (Ballast)
Of Mice & Men,Bones Exposed
Of Mice & Men,Public Service Announcement
Of Mice & Men,Would You Still Be There
One,Worlds Collide
Otherwise,Die For You
Otherwise,Full Circle
Otherwise,Rolling In The Deep
Otherwise,Soldiers
P.O.D.,Alive
P.O.D.,Boom
P.O.D.,Satellite
P.O.D.,Youth Of The Nation
Pantera,5 Minutes Alone
Pantera,By Demons Be Driven
Pantera,Cemetery Gates
Pantera,Cowboys From Hell
Pantera,Domination
Pantera,Fucking Hostile
Pantera,Goddamn Electric
Pantera,I'm Broken
Pantera,Medicine Man
Pantera,Shedding Skin
Pantera,This Love
Pantera,Walk
Papa Roach,Burn
Papa Roach,Forever
Papa Roach,Getting Away With Murder
Papa Roach,Last Resort
Papa Roach,Leader Of The Broken Hearts
Papa Roach,Scars
Papa Roach,Where Did The Angels Go?
Papercut Massacre,Lose My Life
Pearl Jam,Lightning Bolt
Periphery,The Parade Of Ashes
Pop Evil,Deal With The Devil
Pop Evil,Hero
Pop Evil,Last Man Standing
Pop Evil,Torn To Pieces
Pop Evil,Torn To Pieces EXCLUSIVE
Pop Evil,Trenches
Powerman 5000,How To Be A Human
Powerman 5000,Super Villain
Powerman 5000,When Worlds Collide
Puddle Of Mudd,Control
Puddle Of Mudd,Famous
Queens Of The Stone Age,Go With The Flow
Queens Of The Stone Age,Little Sister
Ra,Awake
Ra,Do You Call My Name
Rage Against The Machine,Born of a Broken Man
Rage Against The Machine,Bullet In The Head
Rage Against The Machine,Bulls On Parade
Rage Against The Machine,Freedom
Rage Against The Machine,Guerrilla Radio
Rage Against The Machine,Killing In The Name
Rage Against The Machine,Know Your Enemy
Rage Against The Machine,No Shelter
Rage Against The Machine,People Of The Sun
Rage Against The Machine,Renegades Of Funk
Rage Against The Machine,Sleep Now in The Fire
Rage Against The Machine,The Ghost Of Tom Joad
Rains,Betterman
Rains,Pressure
Rammstein,Du Hast
Red,Already Over
Red,Breathe Into Me
Red,Die For You
Red,Feed The Machine
Red,Perfect Life
Redlight King,Born To Rise
Redlight King,Times Are Hard
Rev Theory,Hell Yeah
Rev Theory,The Fire
Righteous Vendetta,This Pain
Rob Zombie,Demon Speeding
Rob Zombie,Dragula
Rob Zombie,Living Dead Girl
Rob Zombie,Scum Of The Earth
Rob Zombie,Superbeast
Royal Blood,Out Of The Black
SOiL,The Hate Song
Saliva,Click Click Boom
Saliva,Ladies & Gentlemen
Saliva,Rise Up
Saliva,Your Disease
Saving Abel,Addicted
Saving Abel,Love Like Suicide
Seether,Breakdown
Seether,Fake It
Seether,Remedy
Seether,Rise Above This
Seether,Tonight
Seether,Weak
Seether,Words As Weapons
Sevendust,Black
Sevendust,Black (Acoustic)
Sevendust,Decay
Sevendust,Denial
Sevendust,Face To Face
Sevendust,Picture Perfect
Sevendust,Splinter
Sevendust,Waffle
Shallow Side,Try To Fight It
Shaman's Harvest,Dragonfly
Shinedown,Adrenaline
Shinedown,Bully
Shinedown,Devour
Shinedown,Diamond Eyes
Shinedown,Enemies
Shinedown,Fly From The Inside
Shinedown,Heroes
Shinedown,Sound of Madness
Shinedown,The Crow and the Butterfly
Sick Puppies,Gunfight
Sick Puppies,You're Going Down
Silent Season,Us All
Sixx:A.M.,Lies Of The Beautiful People
Sixx:A.M.,Life Is Beautiful
Sixx:A.M.,This Is Gonna Hurt
Skillet,Hero
Skillet,Monster
Skillet,Not Gonna Die
Skillet,Rise
Skindred,Kill The Power
Slipknot,Before I Forget
Slipknot,Duality
Slipknot,Left Behind
Slipknot,Psychosocial
Slipknot,Sulfur
Slipknot,Vermilion
Slipknot,Wait And Bleed
Smile Empty Soul,Chemicals
Smile Empty Soul,False Alarm
Soundgarden,Jesus Christ Pose
Soundgarden,Rusty Cage
Spiderbait,Black Betty
Staind,Fade
Staind,For You
Staind,Mudshovel
Starset,My Demons
Starset,Space Oddity EXCLUSIVE
Static-X,Push It
Stone Sour,Bother
Stone Sour,Digital (Did You Tell)
Stone Sour,Do Me A Favor
Stone Sour,Gone Sovereign/Absolute Zero
Stone Sour,RU486
Stone Sour,Say You'll Haunt Me
Stone Sour,Through Glass
Stone Sour,Tired
Sweet Cyanide,Better At Goodbyes
System Of A Down,Aerials
System Of A Down,B.Y.O.B.
System Of A Down,Chop Suey
System Of A Down,Sugar
System Of A Down,Toxicity
Temple Agents,Free
The Pretty Reckless,Going To Hell
The Pretty Reckless,Heaven Knows
The Pretty Reckless,Heaven Knows EXCLUSIVE
The Pretty Reckless,Sweet Things
The Used,Cry
The Virginmarys,Just A Ride
Theory Of A Deadman,Bad Girlfriend
Theory Of A Deadman,Drown
Theory Of A Deadman,No Surprise
Thousand Foot Krutch,Courtesy Call
Thousand Foot Krutch,Fly On The Wall
Thousand Foot Krutch,Let The Sparks Fly
Thousand Foot Krutch,Light Up The Sky
Three Days Grace,(I Hate) Everything About You
Three Days Grace,Chalk Outline
Three Days Grace,Just Like You
Three Days Grace,Never Too Late
Three Days Grace,Painkiller
Three Days Grace,Riot
Three Days Grace,The Good Life
Tool,Aenema
Tool,Forty Six & 2
Tool,Hooker With A Penis
Tool,Schism
Tool,Sober
Tool,Stinkfist
Trapt,Headstrong
Trapt,Who's Going Home With You Tonight?
Trivium,Strife
Twelve Foot Ninja,Ain't That A Bitch
Twelve Foot Ninja,Kingdom
Twelve Foot Ninja,Shuriken
Ume,Black Stone
Used,Cry
Viza,Midnight Hour
Volbeat,16 Dollars
Volbeat,A Warrior's Call
Volbeat,Dead But Rising
Volbeat,Doc Holliday
Volbeat,Hangman's Body Count
Volbeat,Heaven Nor Hell
Volbeat,Lola Montez
Volbeat,Sad Man's Tongue
Volbeat,Still Counting
Volbeat,The Mirror And The Ripper
Volbeat/Sarah Blackwood,Lonesome Rider
We As Human/Lacey Sturm,Take The Bullets Away
We Came As Romans,Fade Away
When Worlds Collide,Global Rock Spotlig
White Zombie,More Human Than Human
White Zombie,Thunder Kiss '65
Within Temptation,Paradise (What About Us)
Within Temptation,Paradise (What About Us) EXCLUSIVE
Within Temptation,Radioactive
Within Temptation/Howard Jones,Dangerous
Wovenwar,All Rise
You Me At Six,Room To Breathe
You Stay Classy...,Planet Earth
Young Guns,Bones
